epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7455,1.2577,3.17762,1.31199,0.18607,0.12329,0.06805,0.03917,1.25134,4.0562,1.39504,0.0676226,0.000327044,0.000327044
2,20.3276,1.48674,3.37514,1.482,0.55491,0.28059,0.22954,0.1162,1.33655,7.12,1.3009,0.0346006,0.000638367,0.000638367
3,29.8413,1.61871,3.22862,1.554,0.16737,0.31945,0.16172,0.06567,1.43604,5.45861,1.35616,0.0015564,0.00092747,0.00092747
4,39.5362,1.56288,2.73324,1.46461,0.4763,0.44278,0.39392,0.20051,1.51318,2.37644,1.35739,0.00090001,0.00090001,0.00090001
5,49.0292,1.35294,2.15974,1.31548,0.69447,0.55763,0.60718,0.36024,1.36683,1.74161,1.31296,0.00086668,0.00086668,0.00086668
6,58.4973,1.2692,1.76747,1.24117,0.77601,0.48857,0.60366,0.4166,1.14044,1.73174,1.18397,0.00083335,0.00083335,0.00083335
7,67.9489,1.11188,1.49246,1.14917,0.80192,0.70584,0.79425,0.60334,0.89002,1.15991,1.01594,0.00080002,0.00080002,0.00080002
8,77.3183,1.08982,1.27932,1.15898,0.90303,0.78762,0.86459,0.6548,0.90762,0.97298,1.00835,0.00076669,0.00076669,0.00076669
9,86.809,1.04805,1.20076,1.14129,0.71693,0.71779,0.70455,0.5958,0.75475,1.4745,0.96121,0.00073336,0.00073336,0.00073336
10,96.2152,0.94131,1.04236,1.08365,0.95819,0.7343,0.84777,0.68878,0.79434,0.99821,0.99347,0.00070003,0.00070003,0.00070003
11,105.534,0.90852,0.98477,1.06992,0.93717,0.77565,0.88586,0.70873,0.76096,0.8284,0.9784,0.0006667,0.0006667,0.0006667
12,115.053,0.89578,1.00312,1.06298,0.91428,0.80232,0.86832,0.73538,0.69669,0.81324,0.944,0.00063337,0.00063337,0.00063337
13,124.552,0.85179,0.82817,1.05319,0.94921,0.81779,0.90366,0.75512,0.64477,0.69781,0.93998,0.00060004,0.00060004,0.00060004
14,134.017,0.79548,0.79505,1.01754,0.89418,0.85471,0.9015,0.76349,0.62384,0.67623,0.9234,0.00056671,0.00056671,0.00056671
15,143.491,0.79932,0.80627,1.02881,0.94901,0.83499,0.90316,0.77968,0.59595,0.67092,0.91441,0.00053338,0.00053338,0.00053338
16,152.859,0.74748,0.73422,1.00219,0.97417,0.84076,0.91455,0.78735,0.57005,0.57427,0.90741,0.00050005,0.00050005,0.00050005
17,162.381,0.75002,0.70866,0.99661,0.92747,0.81458,0.90505,0.77883,0.59106,0.67003,0.90911,0.00046672,0.00046672,0.00046672
18,171.703,0.71719,0.69344,0.9883,0.95985,0.84861,0.91356,0.79769,0.5414,0.57056,0.89096,0.00043339,0.00043339,0.00043339
19,181.103,0.70301,0.64243,0.98562,0.96067,0.84988,0.91969,0.82031,0.51819,0.53142,0.87673,0.00040006,0.00040006,0.00040006
20,190.811,0.67308,0.62367,0.96045,0.98421,0.8808,0.92494,0.81123,0.54591,0.50134,0.89195,0.00036673,0.00036673,0.00036673
21,216.575,0.52548,0.47628,0.87344,0.9734,0.88503,0.92948,0.82307,0.50792,0.49074,0.88729,0.0003334,0.0003334,0.0003334
22,225.581,0.49267,0.44187,0.86745,0.98241,0.85531,0.93346,0.82191,0.49664,0.47319,0.87198,0.00030007,0.00030007,0.00030007
23,234.636,0.48134,0.4245,0.85407,0.97887,0.88694,0.93501,0.84169,0.48183,0.4691,0.86478,0.00026674,0.00026674,0.00026674
24,243.654,0.46005,0.39468,0.85423,0.99195,0.87471,0.93539,0.84598,0.45326,0.44062,0.85738,0.00023341,0.00023341,0.00023341
25,252.861,0.44756,0.37498,0.84421,0.97928,0.88502,0.936,0.84628,0.45736,0.42161,0.86894,0.00020008,0.00020008,0.00020008
26,261.945,0.42132,0.35767,0.83367,0.98972,0.88718,0.93978,0.85107,0.449,0.41362,0.86537,0.00016675,0.00016675,0.00016675
27,271.102,0.40022,0.34416,0.82697,0.98352,0.88934,0.93646,0.86463,0.41661,0.3887,0.84285,0.00013342,0.00013342,0.00013342
28,280.415,0.38829,0.32851,0.82699,0.98799,0.90337,0.93897,0.87047,0.40602,0.38661,0.8441,0.00010009,0.00010009,0.00010009
29,289.542,0.37729,0.32384,0.83024,0.98562,0.89012,0.93807,0.86666,0.39914,0.37595,0.84053,6.676e-05,6.676e-05,6.676e-05
30,298.605,0.36247,0.3216,0.82057,0.9804,0.8948,0.94014,0.86771,0.39481,0.37198,0.83753,3.343e-05,3.343e-05,3.343e-05
